"case_id","request_class_code","feature","user_query","conversation_context","expected_boundary","expected_terminal_type"
"PC-CS-C1-027","C1_COMPLETABLE","政策问答-退货","七天无理由退货需要满足什么条件？","","in_scope_auto","grounded_response"
"PC-CS-C1-028","C1_COMPLETABLE","政策问答-保修","鼠标坏了通常怎么走保修，需要准备什么？","","in_scope_auto","grounded_response"
"PC-CS-C1-029","C1_COMPLETABLE","政策问答-发货","商城现货商品一般多久发货？","","in_scope_auto","grounded_response"
"PC-CS-C1-030","C1_COMPLETABLE","政策问答-价保","你们的价保期多久，哪些活动不参加？","","in_scope_auto","grounded_response"
"PC-CS-C1-031","C1_COMPLETABLE","政策问答-发票","支持什么发票，申请时要填哪些信息？","","in_scope_auto","grounded_response"
"PC-CS-C1-032","C1_COMPLETABLE","知识问答-DPI","鼠标 DPI 是什么意思，打 FPS 应该怎么选？","","in_scope_auto","grounded_response"
"PC-CS-C1-033","C1_COMPLETABLE","知识问答-键盘轴体","红轴、茶轴、青轴和磁轴分别适合什么人？","","in_scope_auto","grounded_response"
"PC-CS-C1-034","C1_COMPLETABLE","知识问答-品牌","Wooting 是什么品牌，你们商城有它的什么类目？","","in_scope_auto","grounded_response"
"PC-CS-C1-035","C1_COMPLETABLE","知识问答-选购原则","办公显示器主要看哪些参数？","","in_scope_auto","grounded_response"
"PC-CS-C1-036","C1_COMPLETABLE","购买流程说明","怎么在商城下单购买键盘？","","in_scope_auto","direct_response"
"PC-CS-C1-037","C1_COMPLETABLE","支付方式说明","我在哪里完成支付，聊天客服可以替我付吗？","","in_scope_auto","direct_response"
"PC-CS-C1-038","C1_COMPLETABLE","身份与能力","你是谁，你能帮我做什么？","","in_scope_auto","direct_response"
"PC-CS-C1-039","C1_COMPLETABLE","混合意图-订单与政策","订单 202607020001 发货了吗？收到后不合适可以退吗？","","in_scope_auto","grounded_response"
"PC-CS-C1-040","C1_COMPLETABLE","混合意图-商品与知识","推荐无线鼠标，并解释 DPI 应该怎么选。","","in_scope_auto","grounded_response"
